topic;question;a;b;c;d;correctAnswer;explanation;difficulty;language
Context-Sensitive Languages;Which grammar type generates exactly the context-sensitive languages?;Type-0 (unrestricted);Type-1 (context-sensitive);Type-2 (context-free);Type-3 (regular);b;By Chomsky hierarchy, Type-1 grammars generate exactly the CSL.;easy;EN
Context-Sensitive Languages;What is the key restriction on context-sensitive grammar rules?;Left side may be shorter than right side;Right side must not be shorter than left side;Epsilon-productions are always allowed;They must always replace a single nonterminal; b;In context-sensitive grammars, |α| ≤ |β| ensures non-contracting rules (except possibly S→ε).;easy;EN
Context-Sensitive Languages;Which machine model characterizes context-sensitive languages?;Pushdown automaton;Linear-bounded automaton;Deterministic finite automaton;Turing machine with infinite tape;b;CSLs are recognized exactly by LBAs, which are TMs restricted to linear tape.;medium;EN
Context-Sensitive Languages;Which of the following is a language that is CSL but not CFL?;{a^n b^n};{a^n b^n c^n};{ww^R | w in {a,b}*};{a^* b^*};b;{a^n b^n c^n} cannot be described by CFG but is CSL, accepted by LBA.;easy;EN
Context-Sensitive Languages;What is true about membership testing for CSL?;It is decidable in PSPACE;It is undecidable;It is solvable in logarithmic space;It is NP-complete;a;Membership for CSL is PSPACE-complete because LBAs use linear space and NSPACE(n)=PSPACE.;hard;EN
Context-Sensitive Languages;Which closure property holds for CSL?;Closed under union;Closed under complement;Closed under intersection;All of the above;d;CSL are closed under union, intersection, concatenation, star, homomorphisms, and also complement (Immerman–Szelepcsényi).;medium;EN
Context-Sensitive Languages;Which famous theorem shows CSL are closed under complement?;Rice's theorem;Cook–Levin theorem;Immerman–Szelepcsényi theorem;Savitch's theorem;c;Immerman–Szelepcsényi (1987) proved NSPACE(s(n)) is closed under complement, including NSPACE(n)=CSL.;hard;EN
Context-Sensitive Languages;What is the open problem related to CSL and LBAs?;Whether CSL=recursive languages;Whether deterministic and nondeterministic LBAs are equally powerful;Whether CSL=NP;Whether CSL contain all decidable languages;b;It is still unknown whether DLBA=NLBA, i.e., deterministic vs. nondeterministic LBAs.;hard;EN
Context-Sensitive Languages;Which of the following is NOT CSL?;{a^n b^n c^n};{ww | w in {a,b}*};{a^p | p is prime};{a^n b^n c^n d^n};c;Primes require more than linear space; it's not CSL. Others can be accepted by LBAs.;medium;EN
Context-Sensitive Languages;Which statement is correct about CSL in the Chomsky hierarchy?;They are more powerful than CFL but less powerful than recursive languages.;They are less powerful than CFL.;They coincide with recursive enumerable languages.;They are the smallest class.;a;CSL (Type-1) strictly include CFL (Type-2) and are strictly contained in recursive languages (Type-0 decidable).;easy;EN
Chomsky Hierarchy;Which grammar type corresponds exactly to regular languages?;Type-0;Type-1;Type-2;Type-3;d;Type-3 grammars generate regular languages, equivalent to DFAs and NFAs.;easy;EN
Chomsky Hierarchy;Which language class is recognized by pushdown automata?;Regular;Context-free;Context-sensitive;Recursively enumerable;b;Context-free languages correspond exactly to nondeterministic pushdown automata.;easy;EN
Chomsky Hierarchy;Which inclusion chain correctly describes the Chomsky hierarchy?;Regular ⊂ Context-free ⊂ Context-sensitive ⊂ Recursively enumerable;Context-free ⊂ Regular ⊂ Context-sensitive ⊂ Recursively enumerable;Context-sensitive ⊂ Regular ⊂ Context-free ⊂ Recursively enumerable;Regular ⊂ Context-sensitive ⊂ Context-free ⊂ Recursively enumerable;a;This is the standard chain: every regular language is CFL, every CFL is CSL, and every CSL is RE.;easy;EN
Chomsky Hierarchy;Which type of grammar allows unrestricted rules with no length condition?;Type-0;Type-1;Type-2;Type-3;a;Type-0 grammars are unrestricted and generate exactly the recursively enumerable languages.;medium;EN
Chomsky Hierarchy;Which class corresponds exactly to decidable (recursive) languages?;Type-0;Type-1;Subset of Type-0;Type-3;c;Recursive languages are a strict subset of RE (Type-0) but not captured exactly by a Chomsky type.;hard;EN
Chomsky Hierarchy;Which of the following is NOT context-free but context-sensitive?;{a^n b^n};{a^n b^n c^n};{(ab)^n};{ww^R | w in {a,b}*};b;{a^n b^n c^n} is the classic example of CSL but not CFL.;easy;EN
Chomsky Hierarchy;Which language is NOT recursively enumerable?;The Halting problem language;{a^n b^n c^n};{ww | w in {a,b}*};The complement of the Halting problem language;d;The Halting problem is RE but not recursive. Its complement is not RE.;hard;EN
Chomsky Hierarchy;Which machine model corresponds to Type-0 grammars?;Deterministic finite automata;Pushdown automata;Linear-bounded automata;Turing machines;d;Type-0 grammars generate RE languages, equivalent to Turing machines.;easy;EN
Chomsky Hierarchy;Which closure property does NOT hold for context-free languages?;Union;Concatenation;Complement;Kleene star;c;CFL are not closed under complement (nor intersection), though closed under union and concatenation.;medium;EN
Chomsky Hierarchy;Who introduced the hierarchy of language classes that bears his name?;Alan Turing;Noam Chomsky;Stephen Cook;Kurt Gödel;b;Noam Chomsky introduced the hierarchy in the 1950s as a classification of grammars and languages.;easy;EN
Chomsky Hierarchy (Advanced);You want to prove that a language L is not context-free. Which tool is most appropriate?;Rice’s theorem;Pumping Lemma for regular languages;Pumping Lemma for context-free languages;Savitch’s theorem;c;The pumping lemma for CFL is the standard technique to prove non-context-freeness of a language.;medium;EN
Chomsky Hierarchy (Advanced);Given L = {a^n b^n c^n d^n | n ≥ 0}, which argument shows it is context-sensitive but not context-free?;A PDA cannot check equality of four counts simultaneously;It is accepted by DFA;It is regular because it has fixed blocks;It is undecidable;a;A PDA has only one stack and cannot handle four-way equality, but an LBA can, making L context-sensitive.;hard;EN
Chomsky Hierarchy (Advanced);How can the Chomsky hierarchy help classify the complexity of parsing natural languages?;It shows natural languages are always regular;It proves natural languages require at least Type-2 power;It proves natural languages require Turing machines;It proves natural languages are undecidable;b;Natural languages exhibit constructs beyond regular, typically modeled at least by CFGs (Type-2).;medium;EN
Chomsky Hierarchy (Advanced);Why is the chain Regular ⊂ CFL ⊂ CSL ⊂ RE strict?;Because there are example languages separating each class;Because closure properties forbid overlap;Because grammars are defined syntactically;Because Turing machines cannot simulate finite automata;a;Classic examples: {a^n b^n} separates regular vs. CFL, {a^n b^n c^n} separates CFL vs. CSL, etc.;medium;EN
Chomsky Hierarchy (Advanced);Suppose you want to show L = {ww | w ∈ {a,b}*} is not context-free. Which argument works best?;Use pumping lemma for regular languages;Use closure of CFL under union and intersection;Use pumping lemma for CFL to derive contradiction;Use equivalence with DFA;c;The pumping lemma for CFL demonstrates the language cannot be generated by a context-free grammar.;hard;EN
